,Topic,Count,Name,Representation,Representative_Docs
0,-1,3277,-1_子ども_保育_息子_子供,"['子ども', '保育', '息子', '子供', '子育て', '治療', '安心', '今日', '日間', '長女']","['次女 小学 チワワ チワワ パパ ほしい 張り 食欲 今日 胸 張り 食欲 張り 食欲', 'いい コメント 落ち着い 悩み 尽き 落ち着い 悩み 少し 落ち着い 悩み 悩み 楽しい', 'いい コメント 落ち着い 悩み 尽き 落ち着い 悩み 少し 落ち着い 悩み 悩み 楽しい']"
1,0,312,0_子宮_子宮 子宮_内膜_子宮 内膜,"['子宮', '子宮 子宮', '内膜', '子宮 内膜', '頸管', '子宮 頸管', '慢性 子宮', '慢性', '子宮 妊娠', '内膜 検査']","['流産 慢性 子宮 子宮 内膜 検査 慢性 子宮 内膜 慢性 子宮 子宮 内膜', '流産 慢性 子宮 慢性 子宮 内膜 子宮 内膜 検査 慢性 子宮 子宮 内膜', '流産 慢性 子宮 慢性 子宮 内膜 子宮 内膜 検査 慢性 子宮 子宮 内膜']"
2,1,255,1_夏休み_夏休み 夏休み_夏期_夏祭り,"['夏休み', '夏休み 夏休み', '夏期', '夏祭り', '真夏', '子ども 夏休み', '夏休み 夏休み 夏休み', '夏休み 子ども', '夏休み 終わり', '夏休み 週間']","['日間 夏休み 夏休み 夏休み 夏休み 騒ぐ 夏休み 夏休み ない しっかり 夏休み 日間 夏休み', '事件 夏休み 夏休み 夏休み 夏休み 事件 夏休み 夏休み 夏休み どうぞ 海水', '母子 家庭 夏休み 夏休み 夏休み 過ごし 家庭 夏休み 夏休み 夏休み 夏休み 家庭 夏休み 過ごし']"
3,2,225,2_食べ_食事_食べ 食べ_美味しい,"['食べ', '食事', '食べ 食べ', '美味しい', 'ダイエット', '餃子', '食べる', 'チキン', '美味しい 食べ', '食べ 食べ 食べ']","['掴み 食べ 食べ 掴み 食べ 飲み込ま つけ 食べ 食 食べ 食べ 食べ', '食べ 食べ 食べ 食べ ギリッギリ クリーム 食べ 食べ 食べ 食べ ギリッギリ', '長女 食べ 食べ 食べ 痩せ 長女 長女 食べ 美味しい 食べ 先月 美味しい 食べ']"
4,3,179,3_台風_台風 台風_台風 影響_地震,"['台風', '台風 台風', '台風 影響', '地震', '風速', '影響', '台風 近づい', '雨風', '台風 来る', '噴火']","['寮 住ん 台風 台風 台風 近づい 住ん 台風 雪 台風 近づい 住ん 台風', '台風 影響 朝 影響 朝 台風 朝 台風 朝 台風 影響 台風', '一緒 出 台風 台風 出 台風 台風 過ぎ 気圧 台風 去っ']"
5,4,144,4_新作_昭和_春夏_軽井沢,"['新作', '昭和', '春夏', '軽井沢', '宮参り', '春夏 新作', '福井', '専業 主婦', '専業', '小学']","['子供 服 宮参り 服 宮参り 転勤 専業 主婦 専業 主婦 自己 服 宮参り カバー', '子供 服 宮参り 服 宮参り 転勤 専業 主婦 専業 主婦 自己 服 宮参り カバー', '子供 服 宮参り 服 宮参り 転勤 専業 主婦 専業 主婦 自己 服 宮参り カバー']"
6,5,143,5_ポケット_コーデ_ポケモンフレンダ_マットレス,"['ポケット', 'コーデ', 'ポケモンフレンダ', 'マットレス', 'シャツ', 'フェイク', 'フェイク 入れ', '細見', '細見 コーデ', 'ホワイトニング']","['フェイク 入れ 構成 フェイク 入れ 期間 エピソード フェイク 入れ フェイク 入れ フェイク 入れ 服', '細見 コーデ 細見 コーデ 得意 かわいい 細見 コーデ 保育 コーデ プチプラ トレンド コーデ', 'アパレル 姉妹 コーデ 細見 コーデ プチプラ トレンド コーデ かわいい 細見 コーデ 姉妹 コーデ コンビニ']"
7,6,132,6_息子_息子 息子_息子 入院_息子 頑張っ,"['息子', '息子 息子', '息子 入院', '息子 頑張っ', 'つい 息子', '出産 現在', '息子 育児', '現在', '現在 息子', '息子 昨日']","['夫 息子 昨日 行動 夫 息子 息子 昨日 夫 夫 息子 夫 夫 息子', '息子 育児 新米 男の子 出産 現在 普段 様子 いる 現在 息子 育児 息子 育児', '息子 いる 休め 息子 育児 新米 出産 現在 息子 男の子 出産 現在 現在 息子 育児']"
8,7,132,7_東京_名古屋_福岡_福岡 大野城,"['東京', '名古屋', '福岡', '福岡 大野城', '大野城', '大阪', '北海道', '福島', '葉山', '日祝']","['金額 福岡 大野城 フォーム 福岡 大野城 福岡 大野城 断 福岡', '金額 福岡 大野城 フォーム 福岡 大野城 福岡 大野城 断 福岡', '金額 福岡 大野城 フォーム 福岡 大野城 福岡 大野城 断 福岡']"
9,8,104,8_頑張っ_仕事_頑張る_頑張り,"['頑張っ', '仕事', '頑張る', '頑張り', '頑張れる', 'テレワーク', '立ち仕事', '組み立て', '頑張ろう', '頑張ろ']","['快勝 試合 頑張っ 試合 頑張っ ほしい 頑張っ ほしい 思い 試合 頑張っ 頑張っ ほしい', '悩ん ない 頑張る ない 頑張る 頑張り ない 頑張る 頑張る 頑張り きっ 頑張っ でき 悩む', '頑張る 国家 資格 勉強 頑張る 国家 頑張る 国家 瀕死 勉強 頑張る 勉強 頑張る']"
10,9,101,9_今年_今年 元気_去年_元気 男の子,"['今年', '今年 元気', '去年', '元気 男の子', '元気', '来年', '今年 元気 男の子', '昨年', '産み 去年', '元気 産み 去年']","['今年 元気 男の子 今年 元気 元気 産み 去年 再開 今年 元気 元気 男の子 出産', '今年 元気 男の子 元気 産み 去年 今年 元気 再開 今年 元気 完母 志望 息子', '今年 元気 男の子 元気 産み 去年 今年 元気 再開 今年 元気 元気 男の子']"
11,10,95,10_義母_義父_義理_義父 つい,"['義母', '義父', '義理', '義父 つい', '義母 義母', '義母 義父', '義父 義父', '義父 つい 綴っ', 'つい 綴っ', '両親']","['義父 つい 義父 つい 綴っ 過去 義 両親 現在 義 両親 通夜 義母 顔', '義父 つい 義父 つい 綴っ 義 過去 義 両親 現在 義 両親', '義父 つい 義父 つい 綴っ 義 過去 義 両親 現在 義 両親']"
