Category,Blog Rank,Blog Name,Blog Link,Common Hashtags,Username,Top User Tag,User Page Link,Display Name,Status,Date of Birth,Gender,Blood Type,Originally From,Current Location,Occupation
parenting toddlers,1,日曜日は９時まで寝たい。,https://ameblo.jp/abe-kawa-san/,"['楽天お得情報', '子供服', '記事デザイン', '義母', 'ワーママ', '女の子ママ', '', '', '', '']",abe-kawa-san,TRUE,https://www.ameba.jp/profile/ameba/abe-kawa-san/,あべかわ,,,女性,,,,
parenting toddlers,2,でっかいおっさんの子育て相談ルーム,https://ameblo.jp/dekkaiossan9/,"['今月のお気に入り', '楽天お得情報', '双子', '受験', '探偵', 'パート', '', '', '', '']",dekkaiossan9,TRUE,https://www.ameba.jp/profile/ameba/dekkaiossan9/,でっかいおっさん,既婚,,男性,,,,
parenting toddlers,3,アラフィフ初産～母になる,https://ameblo.jp/pinopinopino43/,"['高齢出産', '男の子ママ', '専業主婦', '高齢育児', '5才児', '高齢ママ', '年中さん', 'PR_AMEBAPICK', '']",pinopinopino43,FALSE,https://www.ameba.jp/profile/general/pinopinopino43/,ぴの,,,女性,,,,
parenting toddlers,4,まさか4人の男の子のおかあさんになるなんて。,https://ameblo.jp/moemoexox/,"['楽天お得情報', 'まとめ買い', '元夫', 'アラサー主婦', 'アラサー女子', '', '', '', '', '']",moemoexox,FALSE,https://www.ameba.jp/profile/general/moemoexox/,あおい。,,,女性,,,,
parenting toddlers,5,セレブなママ友に負けない！セレブごっこの日々,https://ameblo.jp/nianian0401/,"['ワンオペ育児', 'ワーママ', '長男', '女の子ママ', 'ママ友', '東京', '', '', '', '']",nianian0401,FALSE,https://www.ameba.jp/profile/general/nianian0401/,にあ,,,,,,,
parenting toddlers,6,こじらせガルコと小さな怪獣,https://ameblo.jp/gal113/,"['マンガ', 'イラスト', '帝王切開', 'アラサー主婦', '入院', '男の子ママ', '', '', '', '']",gal113,TRUE,https://www.ameba.jp/profile/ameba/gal113/,ガルコ,,,女性,,,,
parenting toddlers,7,本当にあった義母とママ友の話,https://ameblo.jp/clear-azuyka-3030/,"['離婚', '別居', '記事デザイン', '義母', 'PR', '夫', 'まんぞく日記の記事デザイン', '', '', '']",clear-azuyka-3030,FALSE,https://www.ameba.jp/profile/general/clear-azuyka-3030/,アズ,,,女性,O,,,
parenting toddlers,8,近距離に住んでいる義両親に苦しめられてます。,https://ameblo.jp/aoka0719/,"['1歳', '記事デザイン', '同居', 'しまむら', '保育園', '義実家', '', '', '', '']",aoka0719,FALSE,https://www.ameba.jp/profile/general/aoka0719/,ズボ田ズボ子,,,女性,,,,
parenting toddlers,9,やきもちやきでも結婚できました。,https://ameblo.jp/la-noppomen/,"['生後6ヶ月', '3歳', '4コマ漫画', '長女', '長男', '5歳', '次女', '', '', '']",la-noppomen,TRUE,https://www.ameba.jp/profile/ameba/la-noppomen/,やき子,既婚,,女性,,,,主婦／主夫
parenting toddlers,10,赤の他人のママ友-じママのぼやき-,https://ameblo.jp/gmamanoikuji/,"['ふるさと納税', '6歳', '5歳', '子育て', '育児の悩み', '育児', '楽天スーパーセール', '', '', '']",gmamanoikuji,TRUE,https://www.ameba.jp/profile/ameba/gmamanoikuji/,じママ,,,女性,,東京都,,
parenting toddlers,11,破天荒ツインズ発達日記,https://ameblo.jp/annannan55/,"['双子', '双子育児', 'エジプト', 'コメントありがとうございます', '', '', '', '', '', '']",annannan55,FALSE,https://www.ameba.jp/profile/general/annannan55/,破天荒ツインズママ,,,女性,,,,
parenting toddlers,12,三つ子の母になった ありつん日記。,https://ameblo.jp/aritun/,"['私の買ってよかったもの', '双子', '女の子ママ', '男の子ママ', '楽天お得情報', '', '', '', '', '']",aritun,FALSE,https://www.ameba.jp/profile/general/aritun/,ありつん,,,,,,,
parenting toddlers,13,手取り20万円＊ミミの貯金ブログ,https://ameblo.jp/micymicy/,"['大人カジュアル', '楽天お得情報', '記事デザイン', 'Tシャツ', '子供服', '育児', '', '', '', '']",micymicy,FALSE,https://www.ameba.jp/profile/general/micymicy/,ミミ,,,女性,,,,その他
parenting toddlers,14,シャトー家の観察絵日記,https://ameblo.jp/shiropig/,"['小学生', '男の子ママ', '夏休み', '小1', 'スイミングスクール', '性被害対策', '', '', '', '']",shiropig,TRUE,https://www.ameba.jp/profile/ameba/shiropig/,シャトーとん奈,既婚,,女性,,,,
parenting toddlers,15,club_AR:Ｅテレ(おかいつ・ファンターネ！・みいつけた！・トビー)の日々,https://ameblo.jp/5342007/,"['Eテレ', 'おかあさんといっしょ', 'サザエさん', 'サザエさんじゃんけん', '', '', '', '', '', '']",5342007,FALSE,https://www.ameba.jp/profile/general/5342007/,club_AR,,,,,鹿児島県,鹿児島県,
parenting toddlers,16,港区暮らし、ミドサーママ経営者の日常,https://ameblo.jp/giselle-2020/,"['1歳', 'ワーママ', '義実家', '義母', 'ベビーカー', '', '', '', '', '']",giselle-2020,FALSE,https://www.ameba.jp/profile/general/giselle-2020/,RICO,,,女性,,,,
parenting toddlers,17,ママになったら摂食障害って治ると思ってた～摂食障害と発達障害と不妊と～,https://ameblo.jp/yogibo/,"['3歳', '1歳', '保育園', 'こども園', 'アラサー女子', '4歳', '幼稚園', '', '', '']",yogibo,FALSE,https://www.ameba.jp/profile/general/yogibo/,じゃがり子,,,女性,,,,
parenting toddlers,18,産んだらママ友地獄がはじまった,https://ameblo.jp/mamatomokowai/,"['小学4年生', '小学生', '女の子ママ', '小学1年生', '義実家', '義母', 'ママ友', 'ピアノ', '', '']",mamatomokowai,FALSE,https://www.ameba.jp/profile/general/mamatomokowai/,ボコ,,,女性,,,,
parenting toddlers,19,沢山の障がいを抱えた娘とまさかの小学校受験！？,https://ameblo.jp/momokamosumomomo/,"['小学校受験', '貯金', '中学受験', '発達障害', 'お受験', '受験', '', '', '', '']",momokamosumomomo,FALSE,https://www.ameba.jp/profile/general/momokamosumomomo/,momoka,,,,,,,
parenting toddlers,20,新生児から女の子赤ちゃんをシングル子育て中の20代父記録,https://ameblo.jp/single-chichi/,"['保育園', '女の子パパ', 'イヤイヤ期', '1歳児', '子育て', '女の子', '育児', '', '', '']",single-chichi,FALSE,https://www.ameba.jp/profile/general/single-chichi/,新生児からのシンパパ,,,男性,,,,
parenting toddlers,21,ギャンブルで1500万円負けた男,https://ameblo.jp/daanosuke/,"['楽天お得情報', '子供服', '記事デザイン', '義母', 'ワーママ', '女の子ママ', '', '', '', '']",daanosuke,FALSE,https://www.ameba.jp/profile/general/daanosuke/,だーのすけ,,,男性,,,,
parenting toddlers,22,あいちん☆４人の子供達～長男はお空から☆,https://ameblo.jp/aiai11100302/,"['今月のお気に入り', '楽天お得情報', '双子', '受験', '探偵', 'パート', '', '', '', '']",aiai11100302,FALSE,https://www.ameba.jp/profile/general/aiai11100302/,あいちん,既婚,,女性,,,,主婦／主夫
parenting toddlers,23,めぇたんのブログ【姉妹子育て(4歳1歳)＆お買い物記録♡】,https://ameblo.jp/menmi-pink/,"['高齢出産', '男の子ママ', '専業主婦', '高齢育児', '5才児', '高齢ママ', '年中さん', 'PR_AMEBAPICK', '']",menmi-pink,FALSE,https://www.ameba.jp/profile/general/menmi-pink/,めぇたん,,,,,,,
parenting toddlers,24,4人目中絶を辞めて出産→パイプカット◆共働き夫婦の4人育児,https://ameblo.jp/vivienne0323/,"['楽天お得情報', 'まとめ買い', '元夫', 'アラサー主婦', 'アラサー女子', '', '', '', '', '']",vivienne0323,FALSE,https://www.ameba.jp/profile/general/vivienne0323/,あん☆4人子育て中,,,女性,,,,
